Avarage top 8 position,How many times in top 8,Avarage points in top 8,Name
4,40,5544,NULL
3,5,6314,Simona Halep
5,5,5196,Karolina Pliskova
5,5,4960,Elina Svitolina
7,5,4617,Petra Kvitova
3,4,5692,Naomi Osaka
1,3,7702,Ashleigh Barty
2,2,6165,Caroline Wozniacki
3,2,5280,Angelique Kerber
5,2,5243,Sloane Stephens
6,2,4844,Bianca Adreescu
3,1,6550,Garbine Muguruza
4,1,5760,Sofia Kenin
4,1,5425,Kiki Bertens
6,1,4960,Caroline Garcia
8,1,4685,Belinda Bencic
