Avarage top 8 position,How many times in top 8,Avarage points in top 8,Name
1,2,8284,Ashleigh Barty
2,3,6546,Simona Halep
2,1,5875,Angelique Kerber
4,1,5760,Sofia Kenin
4,24,5601,NULL
3,1,5586,Caroline Wozniacki
3,3,5463,Naomi Osaka
5,3,5228,Elina Svitolina
5,3,5203,Karolina Pliskova
6,1,5023,Sloane Stephens
6,2,4844,Bianca Adreescu
8,1,4685,Belinda Bencic
7,3,4640,Petra Kvitova
